TransactionID,CreatedDate,Profile,TotalAmount,PaidAmount,UsedCoupon,
1,2/19/2016,yvonne.ogden@aqua.com,175.15,175.15, 
2,2/19/2016,anthony.mackenzie@aqua.com,141.85,141.85, 
3,2/19/2016,lily.buckland@aqua.com,97.79,97.79,
4,2/19/2016,william.hunter@aqua.com,134.79,134.79,
5,2/19/2016,evan.paige@aqua.com,124.78,124.78,
6,2/19/2016,tracey.berry@aqua.com,122.38,122.38,
7,2/19/2016,erobertsonr@taobao.com,103.20,103.20,
8,2/19/2016,s522581@mail.nwmissouri.edu,135.79,135.79,
9,2/19/2016,S522573@mail.nwmissouri.edu,82.18,82.18,
10,2/19/2016,S525350@mail.nwmissouri.edu,71.37,71.37,
11,2/19/2016,S524968@mail.nwmissouri.edu,139.13,139.13,
12,2/19/2016,S525078@mail.nwmissouri.edu,44.69,44.69,
13,2/19/2016,adavis16@shinystat.com,116.27,116.27,
14,2/19/2016,sgarcia1p@pen.io,127.63,127.63,
15,2/19/2016,bbowman1r@imageshack.us,57.01,57.01,
16,2/19/2016,jstevens1t@amazon.de,42.66,42.66,
17,2/19/2016,kfreeman21@instagram.com,143.31,143.31,
18,2/19/2016,jmoreno23@posterous.com,82.22,82.22,
19,2/19/2016,kadams27@nytimes.com,48.29,48.29,
20,2/19/2016,pking2a@pcworld.com,45.89,45.89,
21,2/19/2016,bchapman2c@rediff.com,110.88,110.88,
22,2/19/2016,wboyd2f@qq.com,127.96,127.96,
23,2/19/2016,mbarnes2i@dmoz.org,91.94,91.94,
24,2/19/2016,mmoreno2m@smugmug.com,154.86,154.86,
25,2/19/2016,tfoster2q@paypal.com,165.62,165.62,
26,2/20/2016,phernandez5@webeden.co.uk,148.78,148.78,
27,2/20/2016,smccoyb@bravesites.com,79.88,79.88,
28,2/20/2016,sevansc@noaa.gov,54.38,54.38,
29,2/20/2016,s522581@mail.nwmissouri.edu,111.82,111.82,
30,2/20/2016,S522573@mail.nwmissouri.edu,33.98,33.98,
31,2/20/2016,S525350@mail.nwmissouri.edu,146.23,146.23,
32,2/20/2016,S524968@mail.nwmissouri.edu,149.83,149.83,
33,2/20/2016,S525078@mail.nwmissouri.edu,107.36,107.36,
34,2/20/2016,twells17@va.gov,44.34,44.34,
35,2/20/2016,yvonne.ogden@aqua.com,139.71,139.71,
36,2/20/2016,anthony.mackenzie@aqua.com,159.78,159.78,
37,2/20/2016,lily.buckland@aqua.com,178.02,178.02,
38,2/20/2016,william.hunter@aqua.com,128.58,128.58,
39,2/20/2016,evan.paige@aqua.com,106.05,106.05,
40,2/20/2016,tracey.berry@aqua.com,179.10,179.10,
41,2/20/2016,maustin1n@linkedin.com,30.06,30.06,
42,2/20/2016,panderson1s@vinaora.com,113.98,113.98,
43,2/20/2016,bhill1v@woothemes.com,117.48,117.48,
44,2/20/2016,dthompson1z@arstechnica.com,177.26,177.26,
45,2/20/2016,cmills28@taobao.com,101.83,101.83,
46,2/20/2016,sallen2e@360.cn,51.80,51.80,
47,2/20/2016,pryan2g@last.fm,37.67,37.67,
48,2/20/2016,scole2k@thetimes.co.uk,90.62,90.62,
49,2/20/2016,kwagner2l@1688.com,22.07,22.07,
50,2/21/2016,smontgomery0@rediff.com,104.17,104.17,
51,2/21/2016,bthompson8@columbia.edu,158.46,158.46,
52,2/21/2016,astephens9@soup.io,161.80,161.80,
53,2/21/2016,acooperi@163.com,161.72,161.72,
54,2/21/2016,yvonne.ogden@aqua.com,97.98,97.98,
55,2/21/2016,anthony.mackenzie@aqua.com,144.58,144.58,
56,2/21/2016,lily.buckland@aqua.com,114.74,114.74,
57,2/21/2016,william.hunter@aqua.com,176.46,176.46,
58,2/21/2016,evan.paige@aqua.com,24.44,24.44,
59,2/21/2016,tracey.berry@aqua.com,127.22,127.22,
60,2/21/2016,s522581@mail.nwmissouri.edu,171.10,171.10,
61,2/21/2016,S522573@mail.nwmissouri.edu,88.68,88.68,
62,2/21/2016,S525350@mail.nwmissouri.edu,129.54,129.54,
63,2/21/2016,S524968@mail.nwmissouri.edu,76.18,76.18,
64,2/21/2016,S525078@mail.nwmissouri.edu,168.88,168.88,
65,2/21/2016,chenderson1k@cnbc.com,117.46,117.46,
66,2/21/2016,mevans1o@pbs.org,38.96,38.96,
67,2/21/2016,tlopez1y@wix.com,49.50,49.50,
68,2/21/2016,jadams24@nih.gov,114.21,114.21,
69,2/21/2016,tking25@engadget.com,97.81,97.81,
70,2/21/2016,pmorrison2h@cdc.gov,33.85,33.85,
71,2/21/2016,lperry2n@goo.gl,77.68,77.68,
72,2/21/2016,ccarroll2p@wp.com,157.90,157.90,
73,2/21/2016,rwillis2r@shop-pro.jp,24.73,24.73,
74,2/22/2016,dcarroll2@uiuc.edu,106.18,106.18,
75,2/22/2016,ahicksa@slate.com,128.23,128.23,
76,2/22/2016,mrusselld@va.gov,97.12,97.12,
77,2/22/2016,twoode@earthlink.net,129.58,129.58,
78,2/22/2016,rfieldsf@lycos.com,66.68,66.68,
79,2/22/2016,handersonj@google.cn,59.24,59.24,
80,2/22/2016,jburtono@weather.com,43.38,43.38,
81,2/22/2016,dgibsons@ask.com,29.72,29.72,
82,2/22/2016,tfox11@theguardian.com,156.45,156.45,
83,2/22/2016,s522581@mail.nwmissouri.edu,156.77,156.77,
84,2/22/2016,S522573@mail.nwmissouri.edu,113.98,113.98,
85,2/22/2016,S525350@mail.nwmissouri.edu,153.14,153.14,
86,2/22/2016,S524968@mail.nwmissouri.edu,165.53,165.53,
87,2/22/2016,S525078@mail.nwmissouri.edu,49.90,49.90,
88,2/22/2016,william.hunter@aqua.com,55.81,55.81,
89,2/22/2016,evan.paige@aqua.com,93.55,93.55,
90,2/22/2016,tracey.berry@aqua.com,149.92,149.92,
91,2/22/2016,dhudson1w@tripod.com,96.58,96.58,
92,2/22/2016,jowens1x@twitpic.com,134.23,134.23,
93,2/22/2016,chawkins20@godaddy.com,90.92,90.92,
94,2/22/2016,jhenderson22@npr.org,94.99,94.99,
95,2/22/2016,yvonne.ogden@aqua.com,81.11,81.11,
96,2/22/2016,anthony.mackenzie@aqua.com,123.64,123.64,
97,2/22/2016,lily.buckland@aqua.com,56.21,56.21,
98,2/22/2016,william.hunter@aqua.com,119.33,119.33,
99,2/22/2016,evan.paige@aqua.com,56.98,56.98,
100,2/22/2016,tracey.berry@aqua.com,156.98,156.98,
